Round,Winner,Venue,Total Pts,Tries,1H Points,2H Points,1H Diff,2H Diff,Win Margin,1st CT,Lead HT,Round,Loser,Venue,Total Pts,Tries,1H Points,2H Points,1H Diff,2H Diff,Lose Margin,1st CT,Lead HT
1,Blues,A,56,7,25,31,10,28,38,No,Yes,1,Rebels,H,18,2,15,3,-10,-28,-38,Yes,No
1,Chiefs,A,24,3,14,10,5,4,9,Yes,Yes,1,Highlanders,H,15,0,9,6,-5,-4,-9,No,No
1,Reds,H,28,4,13,15,-3,3,2,No,No,1,Sharks,A,26,2,16,12,3,-3,-2,Yes,Yes
1,Hurricanes,A,83,13,45,38,40,26,66,Yes,Yes,1,Sunwolves,H,17,3,5,12,-40,-26,-66,No,No
1,Crusaders,H,17,3,12,5,9,-5,4,Yes,Yes,1,Brumbies,A,13,1,3,10,-9,5,-4,No,No
1,Waratahs,H,19,1,9,10,-4,10,6,No,No,1,Force,A,13,1,13,0,4,-10,-6,Yes,Yes
1,Lions,A,28,3,6,22,0,3,3,No,Draw,1,Cheetahs,H,25,1,6,19,0,-3,-3,No,Draw
1,Jaguares,A,39,3,19,20,7,6,13,Yes,Yes,1,Kings,H,26,2,12,14,-7,-6,-13,No ,No
1,Stormers,H,37,5,24,13,24,-11,13,Yes,Yes,1,Bulls,A,24,4,0,24,-24,11,-13,No,No
2,Force,H,26,3,12,14,0,7,7,No,Draw,2,Reds,A,19,3,12,7,0,-7,-7,Yes,Draw
2,Chiefs,H,41,6,22,19,13,2,15,Yes,Yes,2,Blues,A,26,3,9,17,-13,-2,-15,No,No
2,Hurricanes,H,71,11,31,40,25,40,65,Yes,Yes,2,Rebels,A,6,0,6,0,-25,-40,-65,No,No
2,Crusaders,A,30,4,6,24,-11,14,3,No,No,2,Highlanders,H,27,3,17,10,11,-14,-3,Yes,Yes
2,Sharks,A,27,2,13,14,-2,7,5,No,No,2,Brumbies,H,22,3,15,7,2,-7,-5,Yes,Yes
2,Kings,A,37,4,17,20,10,4,14,Yes,Yes,2,Sunwolves,H,23,3,7,16,-10,-4,-14,No,No
2,Lions,H,55,8,33,24,9,12,19,Yes,Yes,2,Waratahs,A,36,5,24,12,-9,-12,-19,No,No
2,Stormers,H,32,4,17,15,6,1,7,Yes,Yes,2,Jaguares,A,25,3,11,14,-6,-1,-7,No,No
2,Cheetahs,H,34,4,28,6,14,-8,6,Yes,Yes,2,Bulls,A,28,3,14,14,-14,8,-6,No,No
3,Chiefs,H,26,2,17,9,11,-3,8,Yes,Yes,3,Hurricanes,A,18,2,6,12,-11,3,-8,No,No
3,Brumbies,H,25,4,10,15,3,5,18,No,Yes,3,Force,A,7,2,7,10,-3,-5,-18,Yes,No
3,Highlanders,A,16,1,10,6,4,0,4,Yes,Yes,3,Blues,H,12,0,6,6,-4,0,-4,No,No
3,Crusaders,A,22,3,7,15,-13,15,2,No,No,3,Reds,H,20,2,20,0,13,-15,-2,Yes,Yes
3,Stormers,A,41,6,17,24,14,17,31,Yes,Yes,3,Kings,H,10,1,3,7,-14,-17,-31,No,No
3,Cheetahs,H,38,4,20,18,3,4,7,No,Yes,3,Sunwolves,A,31,4,17,14,-3,-4,-7,Yes,No
3,Sharks,H,37,3,31,6,24,-1,23,Yes,Yes,3,Waratahs,A,14,2,7,7,-24,1,-23,Yes,Yes
3,Jaguares,H,36,4,21,15,14,-2,12,No,Yes,3,Lions,A,24,4,7,17,-14,2,-12,Yes,No
4,Crusaders,H,33,5,5,28,-16,25,9,No,No,4,Blues,A,24,3,21,3,16,-25,-9,Yes,Yes
4,Chiefs,A,27,4,7,20,4,9,13,Yes,Yes,4,Rebels,H,14,1,3,11,-4,-9,-13,No,No
4,Bulls,H,34,4,17,17,3,10,13,Yes,Yes,4,Sunwolves,A,21,2,14,7,-3,-10,-13,No,No
4,Hurricanes,H,41,7,10,31,2,24,26,No,Yes,4,Highlanders,A,15,2,8,7,-2,-24,-26,No,No
4,Brumbies,A,28,4,7,21,0,16,16,No,Draw,4,Waratahs,H,12,2,7,5,0,-16,-16,Yes,Draw
4,Lions,H,44,7,15,29,15,15,30,Yes,Yes,4,Reds,A,14,2,0,14,-15,-15,-30,No ,No
4,Sharks,H,19,2,8,11,-6,8,2,No,No,4,Kings,A,17,2,14,3,6,-8,-2,Yes,Yes
4,Jaguares,H,41,5,24,17,17,10,27,Yes,Yes,4,Cheetahs,A,14,2,7,7,-17,-10,-27,No,No
5,Crusaders,H,45,7,28,17,11,17,28,Yes,Yes,5,Force,A,17,2,17,0,-11,-17,-28,No,No
5,Waratahs,A,32,4,6,26,-19,26,7,No,No,5,Rebels,H,25,3,25,0,19,-26,-7,Yes,Yes
5,Blues,H,38,6,7,31,0,24,24,Yes,Draw,5,Bulls,A,14,2,7,7,0,-24,-24,No,Draw
5,Highlanders,A,18,2,5,13,-5,10,5,No ,No,5,Brumbies,H,13,1,10,3,5,-10,-5,Yes,Yes
5,Stormers,A,44,6,20,24,-4,17,13,No,No,5,Sunwolves,H,31,4,24,7,4,-17,-13,Yes,Yes
5,Lions,A,42,6,35,7,23,0,23,No,Yes,5,Kings,H,19,3,12,7,-23,0,-23,Yes,No
5,Sharks,A,38,4,15,23,-5,13,8,Yes,No,5,Cheetahs,H,30,3,20,10,5,-13,-8,No,Yes
5,Jaguares,H,22,3,15,7,12,2,14,Yes,Yes,5,Reds,A,8,1,3,5,-12,-2,-14,No,No
6,Highlanders,H,51,6,20,31,20,19,39,Yes,Yes,6,Rebels,A,12,2,0,12,-20,-19,-39,No,No
6,Blues,H,24,4,12,12,4,5,9,Yes,Yes,6,Force,A,15,2,8,7,-4,-5,-9,No,No
6,Chiefs,H,28,3,3,25,-6,22,16,No,No,6,Bulls,A,12,0,9,3,6,-22,-16,No,Yes
6,Hurricanes,A,34,5,14,20,2,17,19,Yes,Yes,6,Reds,H,15,2,12,3,-2,-17,-19,No,No
6,Stormers,H,53,8,22,31,19,24,43,Yes,Yes,6,Cheetahs,A,10,1,3,7,-19,-24,-43,No,No
6,Lions,H,34,3,13,21,-3,8,5,No,No,6,Sharks,A,29,2,16,13,3,-8,-5,Yes,Yes
6,Crusaders,A,41,6,19,22,9,10,19,Yes,Yes,6,Waratahs,H,22,3,10,12,-9,-10,-19,No,No
7,Hurricanes,H,38,6,33,5,26,-16,10,Yes,Yes,7,Waratahs,A,28,4,7,21,-26,16,-10,No,No
7,Brumbies,H,43,6,10,33,0,33,33,Yes,Draw,7,Reds,A,10,1,10,0,0,-33,-33,No,Draw
7,Sharks,H,18,2,8,10,2,3,5,No,Yes,7,Jaguares,A,13,1,6,7,-2,-3,-5,No,No
7,Stormers,H,34,4,24,10,6,2,8,Yes,Yes,7,Chiefs,A,26,3,18,8,-6,-2,-8,No,No
7,Highlanders,H,26,2,13,13,-7,13,6,No,No,7,Blues,A,20,2,20,0,7,-13,-6,Yes,Yes
7,Sunwolves,H,21,2,11,10,1,0,1,No,Yes,7,Bulls,A,20,2,10,10,-1,0,-1,Yes,No
7,Force,H,46,6,15,31,8,-3,5,Yes,Yes,7,Kings,A,41,6,7,34,-8,3,-5,No,No
8,Crusaders,H,50,8,29,21,26,21,47,Yes,Yes,8,Sunwolves,A,3,0,3,0,-26,-21,-47,No,No
8,Reds,H,47,7,14,33,4,9,13,Yes,Yes,8,Kings,A,34,5,10,24,-4,-9,-13,No,No
8,Hurricanes,A,28,4,21,7,7,-3,4,Yes,Yes,8,Blues,H,24,3,14,10,-7,3,-4,No,No
8,Rebels,H,19,1,13,6,1,1,2,Yes,Yes,8,Brumbies,A,17,3,12,5,-1,-1,-2,No,No
8,Chiefs,A,41,6,14,27,-10,24,14,No,No,8,Cheetahs,H,27,3,24,3,10,-24,-14,Yes,Yes
8,Lions,A,29,4,22,7,9,4,13,No,Yes,8,Stormers,H,16,1,13,3,-9,-4,-13,Yes,No
8,Bulls,H,26,2,13,13,10,3,13,Yes,Yes,8,Jaguares,A,13,1,3,10,-10,-3,-13,No,No
9,Hurricanes,H,56,8,14,42,-7,42,35,Yes,No,9,Brumbies,A,21,3,21,0,7,-42,-35,No,Yes
9,Kings,A,26,4,7,19,-10,12,2,No,No,9,Waratahs,H,24,4,17,7,10,-12,-2,Yes,Yes
9,Lions,H,24,3,14,10,7,-4,3,No,Yes,9,Jaguares,A,21,3,7,14,-7,4,-3,Yes,No
9,Highlanders,H,40,6,21,19,18,7,25,Yes,Yes,9,Sunwolves,A,15,2,3,12,-18,-7,-25,No,No
9,Crusaders,H,57,8,36,21,33,0,33,Yes,Yes,9,Stormers,A,24,3,3,21,-33,0,-33,No,No
9,Chiefs,A,16,1,7,9,0,9,9,Yes,Draw,9,Force,H,7,1,7,0,0,-9,-9,No,Draw
9,Bulls,H,20,2,3,17,-8,14,6,No,No,9,Cheetahs,A,14,1,11,3,8,-14,-6,No,Yes
10,Highlanders,H,57,9,31,26,24,19,43,Yes,Yes,10,Stormers,A,14,2,7,7,-24,-19,-43,No,No
10,Chiefs,H,27,4,20,7,17,-10,7,Yes,Yes,10,Sunwolves,A,20,2,3,17,-17,10,-7,No,No
10,Waratahs,A,29,2,17,10,-2,3,3,No,No,10,Reds,H,26,4,19,7,2,-3,-3,Yes,Yes
10,Lions,A,24,3,14,10,5,4,9,Yes,Yes,10,Force,H,15,0,9,6,-5,-4,-9,No,No
10,Crusaders,A,48,7,22,26,15,12,27,No,Yes,10,Cheetahs,H,21,3,7,14,-15,-12,-27,Yes,No
10,Kings,H,44,6,11,33,8,33,41,No,Yes,10,Rebels,A,3,0,3,0,-8,-33,-41,No,No
10,Sharks,A,33,3,20,13,0,8,8,Yes,Draw,10,Jaguares,H,25,3,20,5,0,-8,-8,No,Draw
10,Blues,A,18,3,8,10,5,1,6,No,Yes,10,Brumbies,H,12,0,3,9,-5,-1,-6,No,No
11,Hurricanes,H,41,7,22,19,6,13,19,Yes,Yes,11,Stormers,A,22,1,16,6,-6,-13,-19,No,No
11,Highlanders,A,45,6,10,35,-5,9,4,Yes,No,11,Cheetahs,H,41,6,15,26,5,-9,-4,No,Yes
11,Lions,A,47,7,19,28,12,25,37,Yes,Yes,11,Rebels,H,10,1,7,3,-12,-25,-37,No,No
11,Chiefs,H,46,6,20,26,8,21,29,Yes,Yes,11,Reds,A,17,3,12,5,-8,-21,-29,No,No
11,Blues,A,40,4,26,14,26,-19,7,Yes,Yes,11,Waratahs,H,33,5,0,33,-26,19,-7,No,No
11,Sharks,H,37,4,20,17,13,12,25,No,Yes,11,Force,A,12,2,7,5,-13,-12,-25,Yes,No
11,Crusaders,A,62,10,31,31,28,10,38,Yes,Yes,11,Bulls,H,24,3,3,21,-28,-10,-38,No,No
11,Jaguares,H,46,7,22,24,-3,10,7,No,No,11,Sunwolves,A,39,5,25,14,3,-10,-7,Yes,Yes
12,Blues,H,50,8,24,26,6,12,18,Yes,Yes,12,Cheetahs,A,32,4,18,14,-6,-12,-18,No,No
12,Lions,A,13,1,0,13,-3,10,7,No,No,12,Brumbies,H,6,0,3,3,3,-10,-7,No,Yes
12,Crusaders,H,20,1,9,11,0,8,8,No,Draw,12,Hurricanes,A,12,0,9,3,0,-8,-8,No,Draw
12,Reds,A,29,5,17,12,8,-3,5,Yes,Yes,12,Rebels,H,24,2,9,15,-8,3,-5,No,No
12,Highlanders,A,17,2,10,7,7,0,7,Yes,Yes,12,Bulls,H,10,1,3,7,-7,0,-7,No,No
12,Kings,H,35,4,18,17,2,1,3,No,Yes,12,Sharks,A,32,2,16,16,-2,-1,-3,Yes,No
12,Force,A,16,2,3,13,3,7,10,No,Yes,12,Jaguares,H,6,0,0,6,-3,-7,-10,No,No
13,Crusaders,A,31,3,13,18,-4,11,7,Yes,No,13,Chiefs,H,24,4,17,7,4,-11,-7,No,Yes
13,Stormers,H,30,3,10,20,-2,10,8,No,No,13,Blues,A,22,3,12,10,2,-10,-8,Yes,Yes
13,Hurricanes,H,61,9,21,40,14,40,54,Yes,Yes,13,Cheetahs,A,7,1,7,0,-14,-40,-54,No,No
13,Highlanders,A,55,8,17,28,11,28,49,Yes,Yes,13,Force,H,6,0,6,0,-11,-28,-49,No,No
13,Sharks,A,38,6,21,17,14,7,21,Yes,Yes,13,Sunwolves,H,17,2,7,10,-14,-7,-21,No,No
13,Lions,H,51,7,39,12,25,12,37,Yes,Yes,13,Bulls,A,14,2,14,0,-25,-12,-37,No,No
13,Brumbies,A,19,3,5,14,-5,14,9,No,No,13,Kings,H,10,1,10,0,5,-14,-9,Yes,Yes
13,Waratahs,H,50,8,24,26,13,14,27,Yes,Yes,13,Rebels,A,23,3,11,12,-13,-14,-27,No,No
14,Force,A,40,4,13,27,8,6,14,Yes,Yes,14,Reds,H,26,4,5,21,-8,-6,-14,No,No
14,Cheetahs,A,47,7,14,33,14,26,40,Yes,Yes,14,Sunwolves,H,7,1,0,7,-14,-26,-40,No,No
14,Highlanders,H,44,6,13,31,-1,17,16,Yes,No,14,Waratahs,A,28,4,14,14,1,-17,-16,No,Yes
14,Crusaders,A,41,6,31,10,24,-2,22,Yes,Yes,14,Rebels,H,19,3,7,12,-24,2,-22,No,No
14,Hurricanes,A,34,5,24,10,11,3,14,Yes,Yes,14,Bulls,H,20,2,13,7,-11,-3,-14,No,No
14,Sharks,H,22,3,15,7,15,-3,12,Yes,Yes,14,Stormers,A,10,1,0,10,-15,3,-12,No,No
14,Brumbies,A,39,6,20,19,10,14,24,Yes,Yes,14,Jaguares,H,15,2,10,5,-10,-14,-24,No,No
14,Lions,H,54,8,19,35,16,28,44,Yes,Yes,14,Kings,A,10,1,3,7,-16,-28,-44,No,No
15,Blues,H,34,5,20,14,8,-3,5,Yes,Yes,15,Reds,A,29,4,12,17,-8,3,-5,No,No
15,Crusaders,H,25,3,19,6,9,-6,3,Yes,Yes,15,Highlanders,A,22,3,10,12,-9,6,-3,No,No
15,Chiefs,H,46,6,18,28,15,0,15,Yes,Yes,15,Waratahs,A,31,4,3,28,-15,0,-15,No,No
15,Brumbies,H,32,4,11,21,8,21,29,No,Yes,15,Rebels,A,3,0,3,0,-8,-21,-29,No,No
15,Hurricanes,A,34,6,12,22,12,10,22,Yes,Yes,15,Force,H,12,2,0,12,-12,-10,-22,No,No
15,Chiefs,A,17,2,7,10,0,3,3,No,Draw,15,Hurricanes,H,14,2,7,7,0,-3,-3,Yes,Draw
15,Bulls,A,30,4,17,13,7,6,13,No,Yes,15,Sharks,H,17,2,10,7,-7,-6,-13,Yes,No
15,Kings,A,31,4,14,17,-6,7,1,Yes,No,15,Jaguares,H,30,5,20,10,6,-7,-1,No,Yes
15,Lions,H,94,14,35,59,35,52,87,Yes,Yes,15,Sunwolves,A,7,1,0,7,-35,-52,-87,No,No
15,Stormers,A,40,6,26,14,9,-3,6,Yes,Yes,15,Cheetahs,H,34,4,17,17,-9,3,-6,No,No
16,Reds,H,16,1,6,10,3,-2,1,No,Yes,16,Brumbies,A,15,1,3,12,-3,2,-1,No,No
16,Force,H,31,4,14,17,-1,10,9,Yes,No,16,Rebels,A,22,3,15,7,1,-10,-9,No,Yes
16,Jaguares,A,40,5,25,15,15,-2,13,Yes,Yes,16,Waratahs,H,27,3,10,17,-15,2,-13,No,No
16,Kings,A,31,3,22,9,12,-11,1,Yes,Yes,16,Bulls,H,30,3,10,20,-12,11,-1,No,No
16,Stormers,H,52,8,19,33,9,28,37,Yes,Yes,16,Sunwolves,A,15,2,10,5,-9,-28,-37,No,No
17,Highlanders,H,40,6,21,19,16,7,23,Yes,Yes,17,Reds,A,17,3,5,12,-16,-7,-23,No,No
17,Jaguares,A,32,4,10,22,-9,12,3,No,No,17,Rebels,H,29,2,19,10,9,-12,-3,Yes,Yes
17,Cheetahs,A,21,2,3,18,-9,10,1,No,No,17,Kings,H,20,3,12,8,9,-10,-1,Yes,Yes
17,Sunwolves,H,48,8,14,34,-7,34,27,No,No,17,Blues,A,21,3,21,0,7,-34,-27,Yes,Yes
17,Chiefs,H,28,3,13,15,3,15,18,Yes,Yes,17,Brumbies,A,10,1,10,0,-3,-15,-18,No,No
17,Hurricanes,H,31,4,7,24,-5,14,9,No,No,17,Crusaders,A,22,3,12,10,5,-14,-9,Yes,Yes
17,Force,H,40,5,26,14,20,9,29,Yes,Yes,17,Waratahs,A,11,1,6,5,-20,-9,-29,No,No
17,Stormers,A,41,6,22,19,1,7,8,No,Yes,17,Bulls,H,33,5,21,12,-1,-7,-8,Yes,No
17,Lions,A,27,3,13,14,3,14,17,No,Yes,17,Sharks,H,10,1,10,0,-3,-14,-17,Yes,No